id,titles,primary_title,year,rating,num_votes
tt0113187,Godzilla vs. Destoroyah%Gojira vs. Desutoroiâ,Godzilla vs. Destoroyah,1995,7.0,5356
tt0113189,Golden Eye%GoldenEye,GoldenEye,1995,7.2,235062
tt0113198,A Goofy Movie,A Goofy Movie,1995,6.8,45028
tt0113228,Grumpier Old Men,Grumpier Old Men,1995,6.7,23781
tt0113243,Hackers,Hackers,1995,6.3,64525
tt0113247,La Haine%La haine,La Haine,1995,8.1,145133
tt0113253,Hall6ween%Halloween 6: The Curse of Michael Myers%Halloween 666: The Origin of Michael Myers%Halloween 6: Michael's Back%Halloween 6%Halloween VI: The Curse of Michael Myers%Halloween: The Curse of Michael Myers,Halloween: The Curse of Michael Myers,1995,4.9,30327
tt0113269,Haunted,Haunted,1995,6.2,6081
tt0113277,Heat,Heat,1995,8.2,563905
tt0113303,Hideaway,Hideaway,1995,5.3,6245
tt0113305,Higher Learning,Higher Learning,1995,6.5,17844
tt0113321,Home for the Holidays,Home for the Holidays,1995,6.6,11555
tt0113326,Hung fan kui%Rumble in the Bronx,Rumble in the Bronx,1995,6.8,38247
tt0113347,How to Make an American Quilt,How to Make an American Quilt,1995,6.3,10545
tt0113362,The Horseman on the Roof%Le hussard sur le toit,The Horseman on the Roof,1995,7.1,5592
tt0113409,In the Mouth of Madness%John Carpenter's In the Mouth of Madness,In the Mouth of Madness,1995,7.2,59771
tt0113419,The Indian in the Cupboard,The Indian in the Cupboard,1995,6.0,25638
tt0113442,Me and My Shadow%It Takes Two,It Takes Two,1995,5.9,20327
tt0113451,Jade,Jade,1995,5.3,11241
tt0113464,Jeffrey,Jeffrey,1995,6.8,5648
tt0113481,Fugitivo del futuro%Johnny Mnemonic,Johnny Mnemonic,1995,5.7,65309
tt0113492,Judge Dredd,Judge Dredd,1995,5.6,108794
tt0113497,Jumanji,Jumanji,1995,7.0,299970
tt0113500,Jury Duty,Jury Duty,1995,4.3,7432
tt0113501,Just Cause,Just Cause,1995,6.4,23971
tt0113526,Karan Arjun%Karan and Arjun,Karan Arjun,1995,6.8,12589
