ngrams,max_features,max_df,min_df,avg_recall,avg_distance,intercept,pred1
"(1, 2)",5000,0.1,1.0,0.057996199591480176,0.6505104814341623,0.16930451457912227,[-0.00180467]
"(1, 2)",5000,0.1,0.005,0.04116576749923399,0.5329241490218094,0.09605111837601736,[-0.00693793]
"(1, 2)",5000,0.1,0.01,0.041270293383645684,0.4447772164747159,0.12314864046590275,[-0.06093981]
"(1, 2)",5000,0.3,1.0,0.05800419904136238,0.6513773148929286,0.17739489505587436,[-0.00589472]
"(1, 2)",5000,0.3,0.005,0.0429169209728335,0.5401004527064411,0.11310861802157725,[-0.01685183]
"(1, 2)",5000,0.3,0.01,0.037114987495976484,0.4587118487456284,0.10367162122772984,[-0.04142303]
"(1, 2)",5000,1.0,1.0,0.057976343322328164,0.6470892289626855,0.1693833567483998,[-0.00278303]
"(1, 2)",5000,1.0,0.005,0.042982476845396786,0.5321390127192914,0.11305730554984135,[-0.01862789]
"(1, 2)",5000,1.0,0.01,0.03547763042888678,0.4495033702426569,0.09452694637614847,[-0.03683873]
"(1, 2)",8000,0.1,1.0,0.060867066206643575,0.6813009340657094,0.17151004200845651,[0.00911048]
"(1, 2)",8000,0.1,0.005,0.04116576749923399,0.5329241490218094,0.09605111837601736,[-0.00693793]
"(1, 2)",8000,0.1,0.01,0.041270293383645684,0.4447772164747159,0.12314864046590275,[-0.06093981]
"(1, 2)",8000,0.3,1.0,0.06076607298207525,0.6818420670626416,0.17813037089050124,[0.0060021]
"(1, 2)",8000,0.3,0.005,0.0429169209728335,0.5401004527064411,0.11310861802157725,[-0.01685183]
"(1, 2)",8000,0.3,0.01,0.037114987495976484,0.4587118487456284,0.10367162122772984,[-0.04142303]
"(1, 2)",8000,1.0,1.0,0.060010756616930006,0.6761168359853943,0.17734734397208934,[0.00380251]
"(1, 2)",8000,1.0,0.005,0.042982476845396786,0.5321390127192914,0.11305730554984135,[-0.01862789]
"(1, 2)",8000,1.0,0.01,0.03547763042888678,0.4495033702426569,0.09452694637614847,[-0.03683873]
"(1, 3)",1000,0.1,1.0,0.04255061832607969,0.5272166311580522,0.10181693097915197,[-0.01059666]
"(1, 3)",1000,0.1,0.005,0.04072894191361776,0.5311336634584903,0.09574434456654046,[-0.00783674]
"(1, 3)",1000,0.1,0.01,0.041960205543341234,0.4451812640738731,0.12553066385674932,[-0.06219165]
"(1, 3)",1000,0.3,1.0,0.043669063521919176,0.5337573006344637,0.11939535142640036,[-0.02247866]
"(1, 3)",1000,0.3,0.005,0.042242797826054265,0.5356511853514151,0.11000053573900907,[-0.01649547]
"(1, 3)",1000,0.3,0.01,0.0370891817063316,0.4587095077179256,0.10351479672984254,[-0.04129497]
"(1, 3)",1000,1.0,1.0,0.043062130081057165,0.5254330623517777,0.11016070075217324,[-0.01754076]
"(1, 3)",1000,1.0,0.005,0.043093438951154577,0.5277595519166949,0.1148754803716163,[-0.0211373]
"(1, 3)",1000,1.0,0.01,0.035159057382816314,0.4495029006331821,0.0848383564857193,[-0.02568217]
"(1, 3)",5000,0.1,1.0,0.058199073816091434,0.6436397601916605,0.1602181251003159,[0.00171479]
"(1, 3)",5000,0.1,0.005,0.04011453886833228,0.5318512861208067,0.0934409076507028,[-0.00682466]
"(1, 3)",5000,0.1,0.01,0.041960205543341234,0.4451812640738731,0.12553066385674932,[-0.06219165]
"(1, 3)",5000,0.3,1.0,0.05589048127724703,0.6442156444901618,0.1620591401028741,[-0.00274384]
"(1, 3)",5000,0.3,0.005,0.04339073849587823,0.5385993743538386,0.11119107719736526,[-0.01469161]
